127.0.0.1, 2015-01-30 12:52:06, GET, /, HTTP/1.1, 200, 0.658415
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000609
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 200, 0.000892
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 200, 0.000360
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 200, 0.000366
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000317
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000351
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000498
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000387
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000361
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 200, 0.000315
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/images/favicon.ico, HTTP/1.1, 200, 0.000558
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 200, 0.001840
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 200, 0.001444
127.0.0.1, 2015-01-30 12:52:06, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 200, 0.003738
127.0.0.1, 2015-01-30 12:52:14, POST, /, HTTP/1.1, 500, 0.126123
127.0.0.1, 2015-01-30 12:52:14, POST, /, HTTP/1.1, 500, 0.176572
127.0.0.1, 2015-01-30 12:52:14, POST, /, HTTP/1.1, 500, 0.200575
127.0.0.1, 2015-01-30 12:52:14, GET, /favicon.ico, HTTP/1.1, 404, 0.000561
127.0.0.1, 2015-01-30 12:52:14, GET, /favicon.ico, HTTP/1.1, 404, 0.000428
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/default/ticket/psim2web2py/127.0.0.1.2015-01-30.12-52-13.ce4d3221-9887-4281-ac81-4bd23370da4e, HTTP/1.1, 303, 0.076696
127.0.0.1, 2015-01-30 12:52:17, GET, /admin, HTTP/1.1, 200, 0.045663
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.000578
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.000207
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000322
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002726
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004822
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003231
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002928
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.000636
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000634
127.0.0.1, 2015-01-30 12:52:17, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-01-30 13:24:52, GET, /, HTTP/1.1, 200, 0.746421
127.0.0.1, 2015-01-30 13:24:52, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.002498
127.0.0.1, 2015-01-30 13:24:52, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003579
127.0.0.1, 2015-01-30 13:24:52, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.003671
127.0.0.1, 2015-01-30 13:24:52, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.000290
127.0.0.1, 2015-01-30 13:24:52, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.000290
127.0.0.1, 2015-01-30 13:24:52, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.000301
